yob1,W_HO_PTA_m_SB,UW_HO_PTA_m_SB,T_W_HO_PTA_m_SB,T_UW_HO_PTA_m_SB,HO_ptam_RegCow_1,W_HO_SD_m_SB,W_BY1_HO_SD_m_SB,UW_HO_SD_m_SB,UW_BY1_HO_SD_m_SB,T_W_HO_SD_m_SB,T_UW_HO_SD_m_SB,W_BY1_HO_PTA_m_SB,HO_ptam_RegCow_4,W_HO_REL_m_SB,UW_HO_REL_m_SB,T_W_HO_REL_m_SB,T_UW_HO_REL_m_SB,W_BY1_HO_REL_m_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_m_SC,UW_HO_PTA_m_SC,T_W_HO_PTA_m_SC,T_UW_HO_PTA_m_SC,HO_ptam_RegCow_2,W_HO_SD_m_SC,W_BY1_HO_SD_m_SC,UW_HO_SD_m_SC,UW_BY1_HO_SD_m_SC,T_W_HO_SD_m_SC,T_UW_HO_SD_m_SC,W_BY1_HO_PTA_m_SC,HO_ptam_RegCow_5,W_HO_REL_m_SC,UW_HO_REL_m_SC,T_W_HO_REL_m_SC,T_UW_HO_REL_m_SC,W_BY1_HO_REL_m_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_m_DB,UW_HO_PTA_m_DB,T_W_HO_PTA_m_DB,T_UW_HO_PTA_m_DB,HO_ptam_RegCow_3,W_HO_SD_m_DB,W_BY1_HO_SD_m_DB,UW_HO_SD_m_DB,UW_BY1_HO_SD_m_DB,T_W_HO_SD_m_DB,T_UW_HO_SD_m_DB,W_BY1_HO_PTA_m_DB,HO_ptam_RegCow_6,W_HO_REL_m_DB,UW_HO_REL_m_DB,T_W_HO_REL_m_DB,T_UW_HO_REL_m_DB,W_BY1_HO_REL_m_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_m_DC,UW_HO_PTA_m_DC,T_W_HO_PTA_m_DC,T_UW_HO_PTA_m_DC,HO_ptam_AllCow_1,W_HO_SD_m_DC,W_BY1_HO_SD_m_DC,UW_HO_SD_m_DC,UW_BY1_HO_SD_m_DC,T_W_HO_SD_m_DC,T_UW_HO_SD_m_DC,W_BY1_HO_PTA_m_DC,HO_ptam_AllCow_2,W_HO_REL_m_DC,UW_HO_REL_m_DC,T_W_HO_REL_m_DC,T_UW_HO_REL_m_DC,W_BY1_HO_REL_m_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_m_SB_1,W_BY1_HO_SD_m_SC_1,W_BY1_HO_SD_m_DB_1,W_BY1_HO_SD_m_DC_1,W_HO_SD_m_SB_1,W_HO_SD_m_SC_1,W_HO_SD_m_DB_1,W_HO_SD_m_DC_1,UW_BY1_HO_SD_m_SB_1,UW_BY1_HO_SD_m_SC_1,UW_BY1_HO_SD_m_DB_1,UW_BY1_HO_SD_m_DC_1,UW_HO_SD_m_SB_1,UW_HO_SD_m_SC_1,UW_HO_SD_m_DB_1,UW_HO_SD_m_DC_1,T_W_HO_SD_m_SB_1,T_W_HO_SD_m_SC_1,T_W_HO_SD_m_DB_1,T_W_HO_SD_m_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_m_SB,HO_ptam_RegCow_7,HO_numm_RegCow,HO_ptam_AllCow_3,HO_numm_AllCow
1975,-1237.65207,-2063.231903,-1237.65207,-2063.231903,-2228.296882,990.6448116,#N/A,165.0649789,#N/A,990.6448116,165.0649789,#N/A,-2228.296882,0.982244014,0.888749746,0.982244014,0.888749746,#N/A,2825,176,2825,176,#N/A,1975,-1695.83029,-2321.878749,-1695.736072,-2321.878749,-2228.296882,532.4665919,57.92035441,-93.5818671,#N/A,532.5608102,-93.5818671,-2136.479658,-2228.296882,0.95410127,0.736509197,0.954120603,0.736509197,0.835912162,524382,2650,524038,2650,137,1975,-2085.777896,-2198.4379,-2085.777896,-2198.4379,-2228.296882,142.5189856,#N/A,29.85898238,#N/A,142.5189856,29.85898238,#N/A,-2228.296882,62.86314408,58.02638889,62.86314408,58.02638889,#N/A,3047,2160,3047,2160,#N/A,1975,-2528.89925,-2559.673177,-2528.896033,-2559.675021,-2587.680496,58.78124582,37.16231022,28.00731958,24.56674325,58.78446427,28.00547571,-2246.359063,-2587.680496,41.57447397,38.27843551,41.57511926,38.27873614,37.05835544,444840,238953,444826,238950,754,1975,#N/A,57.92035441,#N/A,37.16231022,990.6448116,532.4665919,142.5189856,58.78124582,#N/A,#N/A,#N/A,24.56674325,165.0649789,-93.5818671,29.85898238,28.00731958,990.6448116,532.5608102,142.5189856,58.78446427,1975,#N/A,-0.429942495,#N/A,-3.937505106,#N/A,137,#N/A,754,1975,#N/A,-2228.296882,1629,-2587.680496,456398
1976,-1378.66939,-1962.748806,-1378.66939,-1962.748806,-2177.944949,799.2755591,#N/A,215.1961433,#N/A,799.2755591,215.1961433,#N/A,-2177.944949,0.980807089,0.886806035,0.980807089,0.886806035,#N/A,2948,191,2948,191,#N/A,1976,-1438.801589,-2226.021979,-1438.676982,-2226.021979,-2177.944949,739.1433604,-43.91632608,-48.07702932,#N/A,739.2679678,-48.07702932,-2261.70527,-2177.944949,0.961766583,0.744891424,0.961792868,0.744891424,0.756016812,762753,3046,762408,3046,939,1976,-2032.495664,-2135.73884,-2032.495664,-2135.73884,-2177.944949,145.4492856,#N/A,42.20610907,#N/A,145.4492856,42.20610907,#N/A,-2177.944949,61.4898957,57.13511029,61.4898957,57.13511029,#N/A,3068,2176,3068,2176,#N/A,1976,-2449.823523,-2482.377649,-2449.824608,-2482.377027,-2511.453152,61.62962931,15.98013698,29.07550246,-20.59898513,61.62854467,29.07612483,-2372.866674,-2511.453152,42.18484411,38.98905665,42.18520221,38.98935503,37.96040664,482888,261346,482883,261344,1869,1976,#N/A,-43.91632608,#N/A,15.98013698,799.2755591,739.1433604,145.4492856,61.62962931,#N/A,#N/A,#N/A,-20.59898513,215.1961433,-48.07702932,42.20610907,29.07550246,799.2755591,739.2679678,145.4492856,61.62854467,1976,#N/A,1.358457998,#N/A,-1.351099334,#N/A,939,#N/A,1869,1976,#N/A,-2177.944949,2109,-2511.453152,493963
1977,-1361.87979,-1905.481242,-1361.87979,-1905.481242,-2099.152074,737.272284,#N/A,193.6708324,#N/A,737.272284,193.6708324,#N/A,-2099.152074,0.980724518,0.894161609,0.980724518,0.894161609,#N/A,2594,173,2594,173,#N/A,1977,-1589.834994,-2154.411297,-1589.675395,-2154.411297,-2099.152074,509.317081,0.392971148,-55.25922199,-198.084892,509.4766791,-55.25922199,-2225.489886,-2099.152074,0.954560598,0.745694597,0.954597804,0.745694597,0.807756355,617172,3231,616693,3231,31849,1977,-1933.37663,-2051.221605,-1933.37663,-2051.221605,-2099.152074,165.7754452,-30.25564534,47.93047006,-119.9092915,165.7754452,47.93047006,-2258.252813,-2099.152074,61.11689471,56.2942743,61.11689471,56.2942743,58.82738095,3362,2253,3362,2253,168,1977,-2369.207144,-2402.601981,-2369.206032,-2402.600533,-2431.011235,61.80409051,11.65657532,28.40925314,-48.8482004,61.80520267,28.41070172,-2566.511903,-2431.011235,43.00961472,39.79997967,43.00951369,39.79995794,41.48461314,523988,285316,523982,285315,61546,1977,#N/A,0.392971148,-30.25564534,11.65657532,737.272284,509.317081,165.7754452,61.80409051,#N/A,-198.084892,-119.9092915,-48.8482004,193.6708324,-55.25922199,47.93047006,28.40925314,737.272284,509.4766791,165.7754452,61.80520267,1977,#N/A,2.215714558,2.266321176,2.129637675,#N/A,31849,168,61546,1977,#N/A,-2099.152074,2422,-2431.011235,533358
1978,-1121.393367,-2006.77444,-1121.393367,-2006.77444,-2088.752386,967.3590198,#N/A,81.97794602,#N/A,967.3590198,81.97794602,#N/A,-2088.752386,0.980394143,0.886065299,0.980394143,0.886065299,#N/A,3981,122,3981,122,#N/A,1978,-1457.360559,-2115.9528,-1456.976184,-2115.983783,-2088.752386,631.3918274,-11.80317029,-27.20041433,-162.8602311,631.7762029,-27.23139707,-2212.395177,-2088.752386,0.946801679,0.74533484,0.94684068,0.745326775,0.807523609,492968,3059,492394,3058,71684,1978,-1920.909589,-2021.151613,-1920.909589,-2021.151613,-2088.752386,167.8427975,12.40698837,67.60077378,-45.19842543,167.8427975,67.60077378,-2200.059164,-2088.752386,58.78440367,53.80086789,58.78440367,53.80086789,59.336714,3052,2074,3052,2074,493,1978,-2290.032941,-2324.841128,-2290.028309,-2324.841128,-2354.73597,64.70302918,19.61525093,29.89484272,-30.88966027,64.70766153,29.89484272,-2530.738206,-2354.73597,43.4452997,40.36068481,43.44530363,40.36068481,41.25081733,538891,298826,538884,298826,159973,1978,#N/A,-11.80317029,12.40698837,19.61525093,967.3590198,631.3918274,167.8427975,64.70302918,#N/A,-162.8602311,-45.19842543,-30.88966027,81.97794602,-27.20041433,67.60077378,29.89484272,967.3590198,631.7762029,167.8427975,64.70766153,1978,#N/A,2.536347085,2.813810875,2.621380072,#N/A,71684,493,159973,1978,#N/A,-2088.752386,2611,-2354.73597,563020
1979,-1461.561633,-1858.74343,-1461.561633,-1858.74343,-2038.041431,576.4797972,-119.8764695,179.2980001,#N/A,576.4797972,179.2980001,-2287.452782,-2038.041431,0.984879865,0.901854041,0.984879865,0.901854041,0.866417689,5588,151,5588,151,134,1979,-1399.059367,-2018.827588,-1398.71675,-2018.827588,-2038.041431,638.9820634,-18.96578807,19.21384249,-123.6479842,639.3246807,19.21384249,-2172.424655,-2038.041431,0.958650878,0.756180086,0.958721828,0.756180086,0.812700836,712945,3283,712298,3283,100234,1979,-1900.57235,-1996.844472,-1900.57235,-1996.844472,-2038.041431,137.46908,44.88944541,41.19695824,-28.769481,137.46908,41.19695824,-2139.631223,-2038.041431,53.98172709,50.24026549,53.98172709,50.24026549,59.95463138,3393,2260,3393,2260,1058,1979,-2213.143613,-2247.313818,-2213.14317,-2247.314003,-2280.256321,67.11270847,30.6755118,32.94250246,-4.694578941,67.11315068,32.9423181,-2477.596112,-2280.256321,43.90948359,40.92777664,43.90947453,40.92777953,41.3469935,572062,321018,572060,321017,268884,1979,-119.8764695,-18.96578807,44.88944541,30.6755118,576.4797972,638.9820634,137.46908,67.11270847,#N/A,-123.6479842,-28.769481,-4.694578941,179.2980001,19.21384249,41.19695824,32.94250246,576.4797972,639.3246807,137.46908,67.11315068,1979,3.00693657,2.771164974,3.311738471,3.030908662,134,100234,1058,268884,1979,#N/A,-2038.041431,3145,-2280.256321,624359
1980,-1315.558639,-1766.528519,-1315.558639,-1766.528519,-2004.691922,689.1332833,-75.25435022,238.163403,#N/A,689.1332833,238.163403,-2216.112753,-2004.691922,0.981387556,0.917413555,0.981387556,0.917413555,0.864016843,3783,174,3783,174,117,1980,-1446.405912,-1932.348171,-1446.324207,-1932.348171,-2004.691922,558.2860103,-7.084807691,72.34375091,-90.67519802,558.3677148,72.34375091,-2125.614779,-2004.691922,0.960107241,0.767149655,0.960125298,0.767149655,0.819488908,739128,3249,738843,3249,116238,1980,-1890.875393,-1980.058612,-1890.875393,-1980.058612,-2004.691922,113.8165292,133.8818445,24.63331036,62.17964428,113.8165292,24.63331036,-2029.432539,-2004.691922,54.98516843,49.0456067,54.98516843,49.0456067,61.48993289,3978,2390,3978,2390,1490,1980,-2140.595136,-2176.58637,-2140.591998,-2176.586788,-2208.457582,67.86244493,35.89264888,31.87121156,9.171691016,67.86558342,31.87079357,-2423.20982,-2208.457582,44.20346221,41.12929728,44.20340827,41.12930344,41.63329909,607705,345684,607699,345683,369860,1980,-75.25435022,-7.084807691,133.8818445,35.89264888,689.1332833,558.2860103,113.8165292,67.86244493,#N/A,-90.67519802,62.17964428,9.171691016,238.163403,72.34375091,24.63331036,31.87121156,689.1332833,558.3677148,113.8165292,67.86558342,1980,3.37305557,2.974309348,3.860558871,3.378656808,117,116238,1490,369860,1980,#N/A,-2004.691922,4318,-2208.457582,690506
1981,-1005.972014,-1494.286223,-1005.972014,-1494.286223,-1907.524563,901.55255,131.8440293,413.2383407,#N/A,901.55255,413.2383407,-2025.389722,-1907.524563,0.987303137,0.91883694,0.987303137,0.91883694,0.928499749,7476,172,7476,172,200,1981,-1129.278261,-1824.734137,-1129.187055,-1824.734137,-1907.524563,778.2463022,84.52101065,82.79042543,-28.67614752,778.3375083,82.79042543,-2019.809082,-1907.524563,0.965443489,0.768920397,0.965454922,0.768920397,0.850051902,846894,3150,846505,3150,146493,1981,-1754.289472,-1887.684174,-1754.289472,-1887.684174,-1907.524563,153.2350906,159.7529247,19.84038815,85.2299685,153.2350906,19.84038815,-1976.938457,-1907.524563,56.93488459,48.00928793,56.93488459,48.00928793,62.39297297,5329,2907,5329,2907,1850,1981,-2059.454597,-2098.233954,-2059.454316,-2098.234171,-2132.835187,73.38058965,45.19342132,34.60123298,18.03745162,73.38087123,34.60101622,-2359.27958,-2132.835187,44.66754879,41.53914786,44.66749383,41.53923042,42.27681547,624633,358768,624626,358765,454346,1981,131.8440293,84.52101065,159.7529247,45.19342132,901.55255,778.2463022,153.2350906,73.38058965,#N/A,-28.67614752,85.2299685,18.03745162,413.2383407,82.79042543,19.84038815,34.60123298,901.55255,778.3375083,153.2350906,73.38087123,1981,4.793086927,3.559783728,4.310019424,3.657165638,200,146493,1850,454346,1981,#N/A,-1907.524563,5944,-2132.835187,738224
1982,-1070.030431,-1468.606965,-1070.030431,-1468.606965,-1833.348242,763.3178105,582.4393049,364.7412766,#N/A,763.3178105,364.7412766,-1589.055526,-1833.348242,0.965375496,0.906034231,0.965375496,0.906034231,0.968032541,3460,174,3460,174,549,1982,-1057.058133,-1744.415743,-1056.615373,-1744.415743,-1833.348242,776.2901093,315.724209,88.93249867,-0.747694506,776.7328684,88.93249867,-1806.199049,-1833.348242,0.964386424,0.775602667,0.964430125,0.775602667,0.903750415,837707,3168,837170,3168,242005,1982,-1695.229708,-1834.79065,-1695.229708,-1834.79065,-1833.348242,138.1185337,222.7316811,-1.442408782,145.4410844,138.1185337,-1.442408782,-1892.693329,-1833.348242,53.63721805,45.13455954,53.63721805,45.13455954,64.33027523,5852,3099,5852,3099,2289,1982,-1984.865918,-2024.561699,-1984.865345,-2024.561699,-2061.602004,76.73608647,53.6672904,37.04030479,27.64395823,76.73665842,37.04030479,-2293.460105,-2061.602004,44.96641527,41.87292001,44.96613195,41.87292001,42.92122225,625701,362441,625693,362441,517405,1982,582.4393049,315.724209,222.7316811,53.6672904,763.3178105,776.2901093,138.1185337,76.73608647,#N/A,-0.747694506,145.4410844,27.64395823,364.7412766,88.93249867,-1.442408782,37.04030479,763.3178105,776.7328684,138.1185337,76.73665842,1982,5.976723281,4.87066799,4.760351041,3.891221546,549,242005,2289,517405,1982,#N/A,-1833.348242,7623,-2061.602004,764573
1983,-955.316417,-1504.332425,-955.316417,-1504.332425,-1792.509077,837.1926591,819.370761,288.1766516,254.1825864,837.1926591,288.1766516,-1356.161537,-1792.509077,0.986351657,0.915882086,0.986351657,0.915882086,0.982090538,7042,136,7042,136,1344,1983,-1022.134411,-1670.466523,-1021.985248,-1670.466523,-1792.509077,770.3746655,488.1088283,122.042553,42.76451683,770.5238279,122.042553,-1631.26985,-1792.509077,0.958794422,0.774945898,0.958806996,0.774945898,0.933764899,637208,3063,636891,3063,375061,1983,-1656.293261,-1815.338997,-1656.293261,-1815.338997,-1792.509077,136.2158147,264.0099627,-22.82992093,166.4167471,136.2158147,-22.82992093,-1815.616361,-1792.509077,48.49915683,40.71741936,48.49915683,40.71741936,65.71616767,5337,3100,5337,3100,2505,1983,-1902.537628,-1942.341156,-1902.54021,-1942.341156,-1980.60216,78.06453201,58.58022247,38.26100377,28.7513071,78.06194972,38.26100377,-2225.285225,-1980.60216,45.15693791,42.17030836,45.15674228,42.17030836,43.36011075,634168,369929,634162,369929,565987,1983,819.370761,488.1088283,264.0099627,58.58022247,837.1926591,770.3746655,136.2158147,78.06453201,254.1825864,42.76451683,166.4167471,28.7513071,288.1766516,122.042553,-22.82992093,38.26100377,837.1926591,770.5238279,136.2158147,78.06194972,1983,7.012104397,5.904910537,5.043458873,4.028001054,1344,375061,2505,565987,1983,-1824.244834,-1792.509077,8714,-1980.60216,779237
1984,-994.390885,-1370.1645,-994.390885,-1370.1645,-1769.310004,774.9191188,786.9265679,399.145504,290.4772571,774.9191188,399.145504,-1363.412858,-1769.310004,0.973089933,0.899875522,0.973089933,0.899875522,0.979219984,2673,161,2673,161,1385,1984,-974.9772658,-1639.728848,-974.9028703,-1639.728848,-1769.310004,794.3327378,540.1178588,129.581156,82.67304448,794.4071334,129.581156,-1554.707751,-1769.310004,0.956342509,0.777698735,0.956357244,0.777698735,0.947771923,607049,3116,606751,3116,480920,1984,-1687.572399,-1778.810238,-1687.572399,-1778.810238,-1769.310004,81.73760502,286.0722124,-9.500233397,173.4471552,81.73760502,-9.500233397,-1750.611922,-1769.310004,45.16447114,39.00198347,45.16447114,39.00198347,66.11155092,5162,3025,5162,3025,2779,1984,-1838.837859,-1875.96839,-1838.836242,-1875.96438,-1911.195068,72.35720862,64.19591872,35.22667813,31.89870095,72.35882653,35.23068743,-2155.129624,-1911.195068,45.30331496,42.42533149,45.3032288,42.42556124,43.98395513,625317,369319,625310,369317,584112,1984,786.9265679,540.1178588,286.0722124,64.19591872,774.9191188,794.3327378,81.73760502,72.35720862,290.4772571,82.67304448,173.4471552,31.89870095,399.145504,129.581156,-9.500233397,35.22667813,774.9191188,794.4071334,81.73760502,72.35882653,1984,7.576522682,6.594060756,5.239215895,4.153793656,1385,480920,2779,584112,1984,-1743.235116,-1769.310004,10677,-1911.195068,765599
