yob1,W_HO_PTA_f_SB,UW_HO_PTA_f_SB,T_W_HO_PTA_f_SB,T_UW_HO_PTA_f_SB,HO_ptaf_RegCow_1,W_HO_SD_f_SB,W_BY1_HO_SD_f_SB,UW_HO_SD_f_SB,UW_BY1_HO_SD_f_SB,T_W_HO_SD_f_SB,T_UW_HO_SD_f_SB,W_BY1_HO_PTA_f_SB,HO_ptaf_RegCow_4,W_HO_REL_f_SB,UW_HO_REL_f_SB,T_W_HO_REL_f_SB,T_UW_HO_REL_f_SB,W_BY1_HO_REL_f_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_f_SC,UW_HO_PTA_f_SC,T_W_HO_PTA_f_SC,T_UW_HO_PTA_f_SC,HO_ptaf_RegCow_2,W_HO_SD_f_SC,W_BY1_HO_SD_f_SC,UW_HO_SD_f_SC,UW_BY1_HO_SD_f_SC,T_W_HO_SD_f_SC,T_UW_HO_SD_f_SC,W_BY1_HO_PTA_f_SC,HO_ptaf_RegCow_5,W_HO_REL_f_SC,UW_HO_REL_f_SC,T_W_HO_REL_f_SC,T_UW_HO_REL_f_SC,W_BY1_HO_REL_f_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_f_DB,UW_HO_PTA_f_DB,T_W_HO_PTA_f_DB,T_UW_HO_PTA_f_DB,HO_ptaf_RegCow_3,W_HO_SD_f_DB,W_BY1_HO_SD_f_DB,UW_HO_SD_f_DB,UW_BY1_HO_SD_f_DB,T_W_HO_SD_f_DB,T_UW_HO_SD_f_DB,W_BY1_HO_PTA_f_DB,HO_ptaf_RegCow_6,W_HO_REL_f_DB,UW_HO_REL_f_DB,T_W_HO_REL_f_DB,T_UW_HO_REL_f_DB,W_BY1_HO_REL_f_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_f_DC,UW_HO_PTA_f_DC,T_W_HO_PTA_f_DC,T_UW_HO_PTA_f_DC,HO_ptaf_AllCow_1,W_HO_SD_f_DC,W_BY1_HO_SD_f_DC,UW_HO_SD_f_DC,UW_BY1_HO_SD_f_DC,T_W_HO_SD_f_DC,T_UW_HO_SD_f_DC,W_BY1_HO_PTA_f_DC,HO_ptaf_AllCow_2,W_HO_REL_f_DC,UW_HO_REL_f_DC,T_W_HO_REL_f_DC,T_UW_HO_REL_f_DC,W_BY1_HO_REL_f_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_f_SB_1,W_BY1_HO_SD_f_SC_1,W_BY1_HO_SD_f_DB_1,W_BY1_HO_SD_f_DC_1,W_HO_SD_f_SB_1,W_HO_SD_f_SC_1,W_HO_SD_f_DB_1,W_HO_SD_f_DC_1,UW_BY1_HO_SD_f_SB_1,UW_BY1_HO_SD_f_SC_1,UW_BY1_HO_SD_f_DB_1,UW_BY1_HO_SD_f_DC_1,UW_HO_SD_f_SB_1,UW_HO_SD_f_SC_1,UW_HO_SD_f_DB_1,UW_HO_SD_f_DC_1,T_W_HO_SD_f_SB_1,T_W_HO_SD_f_SC_1,T_W_HO_SD_f_DB_1,T_W_HO_SD_f_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_f_SB,HO_ptaf_RegCow_7,HO_numf_RegCow,HO_ptaf_AllCow_3,HO_numf_AllCow
1975,-29.9438401,-69.2759256,-29.9438401,-69.2759256,-74.84524708,44.90140699,#N/A,5.569321485,#N/A,44.90140699,5.569321485,#N/A,-74.84524708,0.982244014,0.888749746,0.982244014,0.888749746,#N/A,2825,176,2825,176,#N/A,1975,-52.4734011,-78.35200549,-52.47146337,-78.35200549,-74.84524708,22.37184598,6.929989396,-3.506758406,#N/A,22.37378372,-3.506758406,-66.86679931,-74.84524708,0.95410127,0.736509197,0.954120603,0.736509197,0.835912162,524382,2650,524038,2650,137,1975,-69.62129294,-73.66340089,-69.62129294,-73.66340089,-74.84524708,5.223954141,#N/A,1.181846197,#N/A,5.223954141,1.181846197,#N/A,-74.84524708,62.86314408,58.02638889,62.86314408,58.02638889,#N/A,3047,2160,3047,2160,#N/A,1975,-86.11477045,-87.17399453,-86.11449707,-87.17414745,-88.00718628,1.892415836,0.320596534,0.833191747,0.177071715,1.892689211,0.833038828,-77.5534668,-88.00718628,41.57447397,38.27843551,41.57511926,38.27873614,37.05835544,444840,238953,444826,238950,754,1975,#N/A,6.929989396,#N/A,0.320596534,44.90140699,22.37184598,5.223954141,1.892415836,#N/A,#N/A,#N/A,0.177071715,5.569321485,-3.506758406,1.181846197,0.833191747,44.90140699,22.37378372,5.223954141,1.892689211,1975,#N/A,-0.429942495,#N/A,-3.937505106,#N/A,137,#N/A,754,1975,#N/A,-74.84524708,1629,-88.00718628,456398
1976,-49.12460758,-65.77326848,-49.12460758,-65.77326848,-73.42862543,24.30401785,#N/A,7.655356955,#N/A,24.30401785,7.655356955,#N/A,-73.42862543,0.980807089,0.886806035,0.980807089,0.886806035,#N/A,2948,191,2948,191,#N/A,1976,-50.08091667,-76.82538347,-50.07458959,-76.82538347,-73.42862543,23.34770876,-2.526607113,-3.396758036,#N/A,23.35403585,-3.396758036,-77.04790523,-73.42862543,0.961766583,0.744891424,0.961792868,0.744891424,0.756016812,762753,3046,762408,3046,939,1976,-66.42112157,-71.15104947,-66.42112157,-71.15104947,-73.42862543,7.00750387,#N/A,2.277575962,#N/A,7.00750387,2.277575962,#N/A,-73.42862543,61.4898957,57.13511029,61.4898957,57.13511029,#N/A,3068,2176,3068,2176,#N/A,1976,-83.86349252,-85.0920861,-83.86340839,-85.09200833,-86.03021082,2.166718297,-0.193892741,0.938124721,-1.156250584,2.166802428,0.938202491,-81.62526966,-86.03021082,42.18484411,38.98905665,42.18520221,38.98935503,37.96040664,482888,261346,482883,261344,1869,1976,#N/A,-2.526607113,#N/A,-0.193892741,24.30401785,23.34770876,7.00750387,2.166718297,#N/A,#N/A,#N/A,-1.156250584,7.655356955,-3.396758036,2.277575962,0.938124721,24.30401785,23.35403585,7.00750387,2.166802428,1976,#N/A,1.358457998,#N/A,-1.351099334,#N/A,939,#N/A,1869,1976,#N/A,-73.42862543,2109,-86.03021082,493963
1977,-29.36564697,-62.58525938,-29.36564697,-62.58525938,-71.04095529,41.67530832,#N/A,8.455695915,#N/A,41.67530832,8.455695915,#N/A,-71.04095529,0.980724518,0.894161609,0.980724518,0.894161609,#N/A,2594,173,2594,173,#N/A,1977,-49.84621578,-73.76498537,-49.83702931,-73.76498537,-71.04095529,21.19473952,0.528885069,-2.724030073,-7.497904724,21.20392598,-2.724030073,-74.24581754,-71.04095529,0.954560598,0.745694597,0.954597804,0.745694597,0.807756355,617172,3231,616693,3231,31849,1977,-63.50428097,-68.40487011,-63.50428097,-68.40487011,-71.04095529,7.536674316,-2.657281637,2.636085174,-6.826043569,7.536674316,2.636085174,-77.49409645,-71.04095529,61.11689471,56.2942743,61.11689471,56.2942743,58.82738095,3362,2253,3362,2253,168,1977,-81.33301916,-82.59277708,-81.33313157,-82.59271363,-83.54603731,2.213018157,0.355202508,0.953260235,-1.485580876,2.212905749,0.95332369,-87.34368958,-83.54603731,43.00961472,39.79997967,43.00951369,39.79995794,41.48461314,523988,285316,523982,285315,61546,1977,#N/A,0.528885069,-2.657281637,0.355202508,41.67530832,21.19473952,7.536674316,2.213018157,#N/A,-7.497904724,-6.826043569,-1.485580876,8.455695915,-2.724030073,2.636085174,0.953260235,41.67530832,21.20392598,7.536674316,2.212905749,1977,#N/A,2.215714558,2.266321176,2.129637675,#N/A,31849,168,61546,1977,#N/A,-71.04095529,2422,-83.54603731,533358
1978,-25.88792143,-63.93421635,-25.88792143,-63.93421635,-70.73539352,44.84747209,#N/A,6.80117717,#N/A,44.84747209,6.80117717,#N/A,-70.73539352,0.980394143,0.886065299,0.980394143,0.886065299,#N/A,3981,122,3981,122,#N/A,1978,-46.74409563,-72.20733825,-46.73931874,-72.20573479,-70.73539352,23.99129789,-1.68175178,-1.471944723,-6.336938484,23.99607478,-1.470341267,-75.74371202,-70.73539352,0.946801679,0.74533484,0.94684068,0.745326775,0.807523609,492968,3059,492394,3058,71684,1978,-63.38373748,-67.59619833,-63.38373748,-67.59619833,-70.73539352,7.351656044,1.21231601,3.139195182,-1.612178231,7.351656044,3.139195182,-73.18754293,-70.73539352,58.78440367,53.80086789,58.78440367,53.80086789,59.336714,3052,2074,3052,2074,493,1978,-79.21854792,-80.46191545,-79.2184137,-80.46191545,-81.48645859,2.267910667,0.667042584,1.024543143,-0.941248508,2.268044897,1.024543143,-86.33540837,-81.48645859,43.4452997,40.36068481,43.44530363,40.36068481,41.25081733,538891,298826,538884,298826,159973,1978,#N/A,-1.68175178,1.21231601,0.667042584,44.84747209,23.99129789,7.351656044,2.267910667,#N/A,-6.336938484,-1.612178231,-0.941248508,6.80117717,-1.471944723,3.139195182,1.024543143,44.84747209,23.99607478,7.351656044,2.268044897,1978,#N/A,2.536347085,2.813810875,2.621380072,#N/A,71684,493,159973,1978,#N/A,-70.73539352,2611,-81.48645859,563020
1979,-34.27966704,-58.64859226,-34.27966704,-58.64859226,-68.58489706,34.30523002,-3.625369617,9.936304798,#N/A,34.30523002,9.936304798,-76.71127081,-68.58489706,0.984879865,0.901854041,0.984879865,0.901854041,0.866417689,5588,151,5588,151,134,1979,-45.63037383,-68.82556124,-45.61934236,-68.82556124,-68.58489706,22.95452323,-1.976753261,-0.240664181,-5.539917952,22.96555471,-0.240664181,-74.64392501,-68.58489706,0.958650878,0.756180086,0.958721828,0.756180086,0.812700836,712945,3283,712298,3283,100234,1979,-61.14205905,-65.78735142,-61.14205905,-65.78735142,-68.58489706,7.442838016,1.622236744,2.797545636,-1.087047774,7.442838016,2.797545636,-71.9556985,-68.58489706,53.98172709,50.24026549,53.98172709,50.24026549,59.95463138,3393,2260,3393,2260,1058,1979,-76.33575296,-77.58426069,-76.3357566,-77.5842989,-78.76954333,2.433790366,1.002464956,1.185282638,-0.236677925,2.433786732,1.185244425,-84.79739685,-78.76954333,43.90948359,40.92777664,43.90947453,40.92777953,41.3469935,572062,321018,572060,321017,268884,1979,-3.625369617,-1.976753261,1.622236744,1.002464956,34.30523002,22.95452323,7.442838016,2.433790366,#N/A,-5.539917952,-1.087047774,-0.236677925,9.936304798,-0.240664181,2.797545636,1.185282638,34.30523002,22.96555471,7.442838016,2.433786732,1979,3.00693657,2.771164974,3.311738471,3.030908662,134,100234,1058,268884,1979,#N/A,-68.58489706,3145,-78.76954333,624359
1980,-35.88595495,-55.81271634,-35.88595495,-55.81271634,-66.86401135,30.97805639,-0.956005473,11.05129501,#N/A,30.97805639,11.05129501,-73.23384504,-66.86401135,0.981387556,0.917413555,0.981387556,0.917413555,0.864016843,3783,174,3783,174,117,1980,-44.46263098,-65.75986447,-44.45959,-65.75986447,-66.86401135,22.40138037,-0.407951524,1.104146871,-3.775430036,22.40442134,1.104146871,-72.02220958,-66.86401135,0.960107241,0.767149655,0.960125298,0.767149655,0.819488908,739128,3249,738843,3249,116238,1980,-59.35857074,-64.21994936,-59.35857074,-64.21994936,-66.86401135,7.5054406,3.034287812,2.644061982,0.530372152,7.5054406,2.644061982,-69.91532756,-66.86401135,54.98516843,49.0456067,54.98516843,49.0456067,61.48993289,3978,2390,3978,2390,1490,1980,-73.60342747,-74.90797372,-73.60349584,-74.90799884,-76.12184071,2.518413243,1.166704918,1.213866989,0.224967597,2.518344867,1.21384187,-83.23261786,-76.12184071,44.20346221,41.12929728,44.20340827,41.12930344,41.63329909,607705,345684,607699,345683,369860,1980,-0.956005473,-0.407951524,3.034287812,1.166704918,30.97805639,22.40138037,7.5054406,2.518413243,#N/A,-3.775430036,0.530372152,0.224967597,11.05129501,1.104146871,2.644061982,1.213866989,30.97805639,22.40442134,7.5054406,2.518344867,1980,3.37305557,2.974309348,3.860558871,3.378656808,117,116238,1490,369860,1980,#N/A,-66.86401135,4318,-76.12184071,690506
1981,-26.09369591,-48.90358668,-26.09369591,-48.90358668,-62.9489142,36.8552183,15.04274224,14.04532752,#N/A,36.8552183,14.04532752,-57.61530284,-62.9489142,0.987303137,0.91883694,0.987303137,0.91883694,0.928499749,7476,172,7476,172,200,1981,-36.35101938,-61.74616135,-36.3483094,-61.74616135,-62.9489142,26.59789482,4.224537597,1.20275285,-1.943423747,26.6006048,1.20275285,-66.74810834,-62.9489142,0.965443489,0.768920397,0.965454922,0.768920397,0.850051902,846894,3150,846505,3150,146493,1981,-52.3588082,-59.22352886,-52.3588082,-59.22352886,-62.9489142,10.590106,5.410802076,3.725385339,2.325965585,10.590106,3.725385339,-66.67758802,-62.9489142,56.93488459,48.00928793,56.93488459,48.00928793,62.39297297,5329,2907,5329,2907,1850,1981,-70.51722124,-71.9651336,-70.51720108,-71.96515632,-73.3262815,2.809060259,1.428374606,1.361147903,0.505172551,2.809080413,1.361125186,-81.29231328,-73.3262815,44.66754879,41.53914786,44.66749383,41.53923042,42.27681547,624633,358768,624626,358765,454346,1981,15.04274224,4.224537597,5.410802076,1.428374606,36.8552183,26.59789482,10.590106,2.809060259,#N/A,-1.943423747,2.325965585,0.505172551,14.04532752,1.20275285,3.725385339,1.361147903,36.8552183,26.6006048,10.590106,2.809080413,1981,4.793086927,3.559783728,4.310019424,3.657165638,200,146493,1850,454346,1981,#N/A,-62.9489142,5944,-73.3262815,738224
1982,-25.28239968,-45.70334155,-25.28239968,-45.70334155,-60.30380545,35.02140576,21.72532443,14.60046389,#N/A,35.02140576,14.60046389,-51.35756233,-60.30380545,0.965375496,0.906034231,0.965375496,0.906034231,0.968032541,3460,174,3460,174,549,1982,-33.27387638,-58.86363257,-33.26428751,-58.86363257,-60.30380545,27.02992907,11.71515611,1.440172882,-0.750682752,27.03951794,1.440172882,-59.59696741,-60.30380545,0.964386424,0.775602667,0.964430125,0.775602667,0.903750415,837707,3168,837170,3168,242005,1982,-49.87671316,-56.33239608,-49.87671316,-56.33239608,-60.30380545,10.42709228,7.180253738,3.971409371,3.856924904,10.42709228,3.971409371,-64.12714148,-60.30380545,53.63721805,45.13455954,53.63721805,45.13455954,64.33027523,5852,3099,5852,3099,2289,1982,-67.69277312,-69.17241029,-67.69291224,-69.17241029,-70.57891416,2.886141036,1.777082997,1.406503866,0.873016626,2.886001922,1.406503866,-79.05198585,-70.57891416,44.96641527,41.87292001,44.96613195,41.87292001,42.92122225,625701,362441,625693,362441,517405,1982,21.72532443,11.71515611,7.180253738,1.777082997,35.02140576,27.02992907,10.42709228,2.886141036,#N/A,-0.750682752,3.856924904,0.873016626,14.60046389,1.440172882,3.971409371,1.406503866,35.02140576,27.03951794,10.42709228,2.886001922,1982,5.976723281,4.87066799,4.760351041,3.891221546,549,242005,2289,517405,1982,#N/A,-60.30380545,7623,-70.57891416,764573
1983,-32.59797412,-46.90011696,-32.59797412,-46.90011696,-59.6282931,27.03031897,26.47871703,12.72817613,4.863509667,27.03031897,12.72817613,-46.76388838,-59.6282931,0.986351657,0.915882086,0.986351657,0.915882086,0.982090538,7042,136,7042,136,1344,1983,-36.80100889,-57.511603,-36.7973218,-57.511603,-59.6282931,22.82728421,16.90763296,2.116690095,-0.233609336,22.8309713,2.116690095,-54.232823,-59.6282931,0.958794422,0.774945898,0.958806996,0.774945898,0.933764899,637208,3063,636891,3063,375061,1983,-49.46018117,-55.36021716,-49.46018117,-55.36021716,-59.6282931,10.16811193,8.864840973,4.26807594,5.035077054,10.16811193,4.26807594,-61.06820006,-59.6282931,48.49915683,40.71741936,48.49915683,40.71741936,65.71616767,5337,3100,5337,3100,2505,1983,-65.02127691,-66.43289164,-65.0215831,-66.43289164,-67.81476752,2.793490614,2.029833122,1.381875891,1.009597351,2.793184422,1.381875891,-76.61828902,-67.81476752,45.15693791,42.17030836,45.15674228,42.17030836,43.36011075,634168,369929,634162,369929,565987,1983,26.47871703,16.90763296,8.864840973,2.029833122,27.03031897,22.82728421,10.16811193,2.793490614,4.863509667,-0.233609336,5.035077054,1.009597351,12.72817613,2.116690095,4.26807594,1.381875891,27.03031897,22.8309713,10.16811193,2.793184422,1983,7.012104397,5.904910537,5.043458873,4.028001054,1344,375061,2505,565987,1983,-64.85074913,-59.6282931,8714,-67.81476752,779237
1984,-24.34126327,-43.80406316,-24.34126327,-43.80406316,-57.86278661,33.52152333,28.88473177,14.05872345,8.240433724,33.52152333,14.05872345,-43.54159248,-57.86278661,0.973089933,0.899875522,0.973089933,0.899875522,0.979219984,2673,161,2673,161,1385,1984,-35.18492183,-55.16271317,-35.18204494,-55.16271317,-57.86278661,22.67786477,19.11962791,2.700073436,0.880874224,22.68074167,2.700073436,-51.21511336,-57.86278661,0.956342509,0.777698735,0.956357244,0.777698735,0.947771923,607049,3116,606751,3116,480920,1984,-49.05546122,-53.92815917,-49.05546122,-53.92815917,-57.86278661,8.807325382,10.3106904,3.934627433,5.470397962,8.807325382,3.934627433,-57.9527501,-57.86278661,45.16447114,39.00198347,45.16447114,39.00198347,66.11155092,5162,3025,5162,3025,2779,1984,-62.55066615,-63.83833216,-62.55061922,-63.83824063,-65.10955736,2.558891211,2.362307191,1.271225201,1.206763825,2.55893814,1.271316727,-73.98224562,-65.10955736,45.30331496,42.42533149,45.3032288,42.42556124,43.98395513,625317,369319,625310,369317,584112,1984,28.88473177,19.11962791,10.3106904,2.362307191,33.52152333,22.67786477,8.807325382,2.558891211,8.240433724,0.880874224,5.470397962,1.206763825,14.05872345,2.700073436,3.934627433,1.271225201,33.52152333,22.68074167,8.807325382,2.55893814,1984,7.576522682,6.594060756,5.239215895,4.153793656,1385,480920,2779,584112,1984,-59.72876628,-57.86278661,10677,-65.10955736,765599
