Data files that contain the variable sub-component,Variable sub-component,Definition / example col. header,Data type of col. (variable),Character length,Accepted values,Required?,Accepts null value?
HO_DPR.csv | HO_f.csv | HO_M.csv | HO_p.csv | HO_pl.csv | HO_scs.csv,T,"truncated – data were required to be obtained from animals born before 2009 to ensure that genomic selection was not present in any of those data, so data is cut off at 2009.
Example: T_W_HO_SD_dpr_SB_1",decimal,12,,y,y - #N/A
HO_DPR.csv | HO_f.csv | HO_M.csv | HO_p.csv | HO_pl.csv | HO_scs.csv,HO,values are for Holstein,decimal | integer,12,,y,y - #N/A
HO_DPR.csv | HO_f.csv | HO_M.csv | HO_p.csv | HO_pl.csv | HO_scs.csv,W,"average weighted by number of offspring.
Example: W_HO_PTA_dpr_SB",decimal,12,,y,y - #N/A
HO_DPR.csv | HO_f.csv | HO_M.csv | HO_p.csv | HO_pl.csv | HO_scs.csv,UW,"average unweighted by offspring (each parent is included in an average once).
Example: UW_HO_PTA_dpr_SB",decimal,12,,y,y - #N/A
HO_DPR.csv | HO_f.csv | HO_M.csv | HO_p.csv | HO_pl.csv | HO_scs.csv,BY1,"average is grouped by birth year of offspring. Example: W_BY1_HO_SD_dpr_SB.  If not BY1, then average is grouped by birth year of parent. Example: W_HO_SD_dpr_SB.",decimal,12,,y,y - #N/A
HO_DPR.csv | HO_f.csv | HO_M.csv | HO_p.csv | HO_pl.csv | HO_scs.csv,PTA,"Predicted Transmitting Ability – one half of the estimate of the breeding value, the difference that an offspring of an animal would have compared with a base value of zero.
Example: T_W_HO_PTA_dpr_SB",decimal,12,,y,y - #N/A
HO_DPR.csv,dpr,"Daughter Pregnancy Rate.
Example: T_W_HO_PTA_dpr_SB",decimal,12,,y,y - #N/A
HO_f.csv,f,"fat yield
Example: W_HO_PTA_f_SB",decimal,12,,y,y - #N/A
HO_m.csv,m,"millk yield
Example: W_HO_PTA_m_SB",decimal,12,,y,y - #N/A
HO_p.csv,p,"protein yield
Example: W_HO_PTA_p_SB",decimal,12,,y,y - #N/A
