yob,ptam,ptaf,ptap,ptapl,ptadpr,ptascs,REL,milk_yield,fat_yield,protein_yield,gps,category
1975,-2199.5270222171266,-75.80341722096165,-66.7854961079644,1.2414537415344458,0.6956006128596632,3.1484898694711805,71.62634114070958,11866.035183155878,483.7612005263051,331.9070544334833,30.14,Low Producer
1975,-2258.71490335719,-78.80490556976092,-71.90018683481908,-6.202588222848482,2.2354805871159744,3.379617917809292,73.90582809825717,10034.887995550553,410.6093462172357,300.8920337969796,22.3,Low Producer
1975,-2143.4059858634837,-76.40987444823979,-68.67339197055108,-4.064546735184223,0.2923024581172625,3.224402969736171,87.01125585324027,11142.946870672416,480.3406448401528,349.9290660904524,22.88,Low Producer
1975,-2265.108727405435,-81.9245929565624,-69.41950217154141,-2.4605678469164762,0.9928137789838358,3.1495209001569697,88.5506239619115,11839.664012782447,443.4610399120416,292.1692425599228,24.81,Low Producer
1975,-2305.225888674615,-73.48100080294351,-66.49009588868601,-1.1915370938580532,0.8496572328952873,3.1337571869703567,80.8829641113055,12124.563618642767,434.2030402359094,313.3528557885943,27.16,Low Producer
1975,-2279.3010402197992,-82.67996256306661,-68.45569092169723,-0.45217896951652947,2.1540729974713644,3.396753112623928,72.07325024855453,12158.6458269429,405.2674615610744,335.3583087603252,27.39,Low Producer
1975,-2209.109986650033,-68.08472969372258,-70.45241273409258,-1.8341861579948708,-0.4382354662078367,2.9368345427022526,90.42897299346579,12374.83567496884,474.2101890640688,313.1494276189278,26.42,Low Producer
1975,-2232.687461777638,-68.10262010837769,-66.3041931694919,1.1917816551902525,1.4396356275913156,3.941905175797868,81.97114851403938,10660.253811630719,466.8414071715806,339.9164298993695,27.45,Low Producer
1975,-2222.982065302127,-88.61907858200341,-69.60796787170547,-0.8571973712788564,2.9212622581639707,3.0859805519797976,76.40634863376543,11352.4825187697,407.82143504460294,353.3202725447092,29.21,Low Producer
1975,-2161.2143005892453,-73.06342989697727,-67.86968073809037,0.9693518403895975,1.2282192821412825,3.131956519782193,73.08145388677495,12317.040626456786,440.14935484641995,307.67276482051625,31.01,Low Producer
1975,-2211.1454906044323,-73.03613681202347,-68.87649538492322,-1.9222568400752644,-0.8399819646655386,3.1074580289916214,73.35623028534312,12007.998528997969,448.11559458366577,347.62047998252245,24.49,Low Producer
1975,-2345.4300796593325,-81.38062076250372,-64.32452230399296,-1.5333914481209523,-1.1755560085872903,2.9640429964241557,71.03283452592692,10366.182970248305,439.3468158229285,412.9320082041462,24.11,Low Producer
1975,-2239.4384972547723,-72.75552719523607,-69.00609038774965,-3.6036204677151575,2.4856696588695266,3.3654252671910907,76.65385123178719,10759.386554308247,502.92949577217155,377.1179518714554,25.42,Low Producer
1975,-2147.652880903579,-80.94807861409605,-68.64291171185367,-2.388178467965988,2.2001113908445387,3.575453089809262,70.46445920997998,12534.604183046453,383.8306226844932,344.4282509464433,25.09,Low Producer
1975,-2289.8258895900753,-71.56325655767232,-71.88502730426922,1.289881929031571,-0.01822928003710822,3.1291464664347517,95.89142131179976,11081.440446340064,476.3377498333441,362.326460664428,28.72,Low Producer
1975,-2197.804817917002,-65.39352792844215,-60.63046262929072,-2.084083724092008,0.7323732677758436,2.883190881509565,79.77786808915451,12735.581257473954,487.4808989397071,366.16369157224824,29.35,Low Producer
1975,-2213.788247330796,-72.44436466192276,-71.1059989505233,-1.0819433451101936,1.3809942152882857,3.042842688034199,70.14172434769412,11738.514866730306,412.52134944358113,364.021686906975,28.66,Low Producer
1975,-2151.5462924544,-69.75516248903057,-71.99915820933445,-2.852122964395071,-0.46955646905668935,3.3693950191847746,93.77825549383698,12901.877461374906,489.261780621746,383.4215081476798,22.82,Low Producer
1975,-2242.5098486468887,-80.06863070637911,-71.78769800904045,-2.968458512937789,0.8997677777616645,3.275053434459662,94.97730354495917,12663.893174858526,458.69133871646164,404.7851579584626,23.47,Low Producer
1975,-2222.8659550541934,-84.59162066804667,-69.00549777306736,-3.2334281269190277,2.2703340010569955,3.209235614183405,74.95909902339737,11423.859863648688,422.9955611775018,359.8390168061676,25.29,Low Producer
1975,-2200.886791064554,-75.34995067243433,-71.64868082715039,-4.226725004434556,0.41953056231287256,3.388407734751164,74.74579690721059,12272.830196216648,452.53685915941975,352.45451181072445,21.44,Low Producer
1975,-2126.1869188015276,-73.2447402290235,-71.52549118053025,0.40336231595227723,1.066769117323526,3.3919383746853,89.66955435163906,12760.514779289795,405.2920916634548,313.5033916410614,28.52,Low Producer
1975,-2198.4658567896254,-71.28471588836462,-67.21712181708527,5.434916683178498,1.7421576639011171,3.449824440839732,89.6550725632157,11823.749636688333,463.59690049510203,316.7516220743291,35.38,Low Producer
